Date,Open,High,Low,Close,Adj Close,Volume
6/7/2017,1105,1137,1105,1129.650024,1089.830078,290880
6/8/2017,1143.599976,1152.650024,1135,1144.199951,1103.867188,446579
6/9/2017,1146,1158,1136.449951,1151.099976,1110.523926,323501
6/12/2017,1144.599976,1168,1128,1140.599976,1100.394165,358639
6/13/2017,1148,1157,1137.099976,1145.699951,1105.314331,314684
6/14/2017,1152,1156.75,1142,1154.75,1114.045288,270155
6/15/2017,1160.050049,1206.349976,1155.150024,1186.150024,1144.338501,1265544
6/16/2017,1199,1222.800049,1188,1212.050049,1169.325562,876006
6/19/2017,1209.699951,1217.300049,1195.099976,1201.599976,1159.243896,207358
6/20/2017,1211.849976,1239.900024,1207,1232.300049,1188.861816,581756
6/21/2017,1241,1258.5,1230,1250.650024,1206.564941,626717
6/22/2017,1261,1266.949951,1244.050049,1248.400024,1204.394165,423038
6/23/2017,1249.75,1253,1206.599976,1241.75,1197.978638,334494
6/27/2017,1245,1245.199951,1208.949951,1218.25,1175.307007,208117
6/28/2017,1218,1274.75,1207.550049,1264.900024,1220.312622,537883
6/29/2017,1274,1274,1216.449951,1237,1193.395996,1507923
6/30/2017,1240,1240,1160.050049,1166.550049,1125.429443,2132055
7/3/2017,1160,1204,1157.949951,1192.199951,1150.175171,1000385
7/4/2017,1204,1215.849976,1186.599976,1194.5,1152.394043,478197
7/5/2017,1195,1223,1181,1216.400024,1173.522217,348603
7/6/2017,1224,1242.900024,1199.050049,1232.25,1188.813354,514288
7/7/2017,1236,1255,1221.300049,1247.599976,1203.622437,741739
7/10/2017,1256.949951,1256.949951,1232.849976,1239.199951,1195.518555,69386
7/11/2017,1242.550049,1253.699951,1218,1223.800049,1180.661377,392057
7/12/2017,1230,1268.900024,1228.050049,1262.800049,1218.286621,853619
7/13/2017,1263,1281.599976,1247,1275.949951,1230.973022,790712
7/14/2017,1280,1286.599976,1265.550049,1280.150024,1235.025024,330464
7/17/2017,1284,1293.699951,1271.550049,1283.5,1238.256958,323282
7/18/2017,1275,1285.800049,1271.900024,1278.449951,1233.384766,412544
7/19/2017,1287,1287,1247.400024,1256.650024,1212.353394,345965
7/20/2017,1260,1261.050049,1231,1243.849976,1200.004639,513051
7/21/2017,1230,1250.5,1225.849976,1243.349976,1199.522095,328881
7/24/2017,1243,1248.699951,1227.150024,1233.349976,1189.874634,289106
7/25/2017,1227,1257.949951,1227,1246.449951,1202.512939,578930
7/26/2017,1247,1248,1231.099976,1234.650024,1191.128906,418016
7/27/2017,1234,1249,1219.5,1243.5,1199.66687,934333
7/28/2017,1243.449951,1303.650024,1243.449951,1286.099976,1240.765259,1138895
7/31/2017,1298.25,1317.199951,1282.599976,1290.75,1245.251343,983921
8/1/2017,1320,1330.800049,1266.699951,1290.25,1244.768921,2405404
